retriever,query,predicted_domain,domain_reason,expected_source,top1_source,top3_sources,top1_correct,top3_correct
BM25,How do I change my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,account_access.md,"['account_access.md', 'subscriptions.md', 'account_access.md']",False,True
BM25,Where do I manage my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
BM25,When do I need to cancel before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'escalation_rules.md']",True,True
BM25,Will I get a reminder before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'order_tracking.md']",True,True
BM25,My subscription payment failed,saas,SaaS keywords matched: ['subscription'],subscriptions.md,billing.md,"['billing.md', 'subscriptions.md', 'subscriptions.md']",False,True
BM25,I want a refund for my subscription renewal,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'returns_refunds.md']",True,True
BM25,I am angry about my subscription renewal,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'escalation_rules.md', 'subscriptions.md']",True,True
BM25,I want to sue your company,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,shipping.md,"['shipping.md', 'payment_security.md', 'order_tracking.md']",False,False
BM25,This feels like fraud,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,payment_security.md,"['payment_security.md', 'subscriptions.md', 'subscriptions.md']",False,False
BM25,I am going to contact my lawyer,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,shipping.md,"['shipping.md', 'returns_refunds.md', 'order_tracking.md']",False,False
BM25,Your company is a scam,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,returns_refunds.md,"['returns_refunds.md', 'order_tracking.md', 'subscriptions.md']",False,False
BM25,Can I take this supplement while pregnant?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,order_tracking.md,"['order_tracking.md', 'subscriptions.md', 'subscriptions.md']",False,False
BM25,I had an allergic reaction,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'subscriptions.md']",False,False
BM25,Is this product safe with medication?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,returns_refunds.md,"['returns_refunds.md', 'shipping.md', 'order_tracking.md']",False,False
BM25,I ended up in the hospital after using this,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,payments.md,"['payments.md', 'shipping.md', 'order_tracking.md']",False,False
BM25,My question is not covered by your policies,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,escalation_rules.md,"['escalation_rules.md', 'returns_refunds.md', 'shipping.md']",True,True
BM25,I cannot log into my account,saas,"SaaS keywords matched: ['log in', 'account']",account_access.md,invoices.md,"['invoices.md', 'account_access.md', 'account_access.md']",False,True
BM25,How do I reset my password?,saas,SaaS keywords matched: ['password'],account_access.md,account_access.md,"['account_access.md', 'security_incidents.md', 'technical_issues.md']",True,True
BM25,My account is locked after failed login attempts,saas,"SaaS keywords matched: ['login', 'account']",account_access.md,account_access.md,"['account_access.md', 'technical_issues.md', 'billing.md']",True,True
BM25,How do I change my account email?,saas,SaaS keywords matched: ['account'],account_access.md,account_access.md,"['account_access.md', 'account_access.md', 'technical_issues.md']",True,True
BM25,Someone else claims ownership of my account,saas,SaaS keywords matched: ['account'],account_access.md,account_access.md,"['account_access.md', 'escalation_rules.md', 'invoices.md']",True,True
BM25,Where can I download my invoice?,saas,SaaS keywords matched: ['invoice'],billing.md,invoices.md,"['invoices.md', 'billing.md', 'subscriptions.md']",False,True
BM25,My SaaS payment failed,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,payments.md,"['payments.md', 'subscriptions.md', 'payment_security.md']",False,False
BM25,I see a duplicate charge on my SaaS account,saas,SaaS keywords matched: ['account'],billing.md,billing.md,"['billing.md', 'escalation_rules.md', 'subscriptions.md']",True,True
BM25,Do you accept debit cards for the platform?,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,payments.md,"['payments.md', 'subscriptions.md', 'international_shipping.md']",False,False
BM25,Where do I update my billing method?,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
BM25,The app is not loading in my browser,saas,SaaS keywords matched: ['browser'],technical_issues.md,technical_issues.md,"['technical_issues.md', 'api_errors.md', 'billing.md']",True,True
BM25,My API request failed with error code 401,saas,"SaaS keywords matched: ['api', 'error code']",technical_issues.md,api_errors.md,"['api_errors.md', 'technical_issues.md', 'account_access.md']",False,True
BM25,My data is not syncing,saas,SaaS keywords matched: ['sync'],technical_issues.md,technical_issues.md,"['technical_issues.md', 'data_sync.md', 'technical_issues.md']",True,True
BM25,I think my account was hacked,saas,SaaS keywords matched: ['account'],technical_issues.md,security_incidents.md,"['security_incidents.md', 'account_access.md', 'account_access.md']",False,False
BM25,There may be unauthorized access to my account,saas,SaaS keywords matched: ['account'],technical_issues.md,security_incidents.md,"['security_incidents.md', 'escalation_rules.md', 'technical_issues.md']",False,True
BM25,How do I upgrade my plan?,saas,"SaaS keywords matched: ['plan', 'upgrade']",subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
BM25,How do I downgrade my plan?,saas,"SaaS keywords matched: ['plan', 'downgrade']",subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
BM25,Does my subscription renew automatically?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
BM25,When does my trial expire?,saas,SaaS keywords matched: ['trial'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'api_errors.md', 'escalation_rules.md']",True,True
BM25,I want a refund for my SaaS subscription charge,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'returns_refunds.md']",True,True
Hybrid,How long does standard shipping take?,ecommerce,"E-commerce keywords matched: ['shipping', 'standard shipping']",shipping.md,shipping.md,"['shipping.md', 'order_tracking.md', 'payment_security.md']",True,True
Hybrid,When will my standard delivery arrive?,ecommerce,E-commerce keywords matched: ['delivery'],shipping.md,shipping.md,"['shipping.md', 'escalation_rules.md', 'payments.md']",True,True
Hybrid,How many business days does shipping usually take?,ecommerce,E-commerce keywords matched: ['shipping'],shipping.md,shipping.md,"['shipping.md', 'returns_refunds.md', 'order_tracking.md']",True,True
Hybrid,Do you offer express shipping?,ecommerce,"E-commerce keywords matched: ['shipping', 'express shipping']",shipping.md,shipping.md,"['shipping.md', 'international_shipping.md', 'shipping.md']",True,True
Hybrid,How fast is express delivery?,ecommerce,E-commerce keywords matched: ['delivery'],shipping.md,shipping.md,"['shipping.md', 'returns_refunds.md', 'international_shipping.md']",True,True
Hybrid,My package has not arrived after 12 business days,ecommerce,"E-commerce keywords matched: ['package', 'arrived']",shipping.md,shipping.md,"['shipping.md', 'shipping.md', 'order_tracking.md']",True,True
Hybrid,My order still has not arrived after 10 business days,ecommerce,"E-commerce keywords matched: ['order', 'arrived']",shipping.md,shipping.md,"['shipping.md', 'shipping.md', 'returns_refunds.md']",True,True
Hybrid,My package is missing,ecommerce,E-commerce keywords matched: ['package'],shipping.md,order_tracking.md,"['order_tracking.md', 'returns_refunds.md', 'order_tracking.md']",False,False
Hybrid,Do you ship internationally?,ecommerce,No strong domain match; defaulted to ecommerce,shipping.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
Hybrid,Will I have to pay customs fees?,ecommerce,E-commerce keywords matched: ['customs'],shipping.md,international_shipping.md,"['international_shipping.md', 'shipping.md', 'shipping.md']",False,True
Hybrid,How long does order processing take?,ecommerce,E-commerce keywords matched: ['order'],shipping.md,order_tracking.md,"['order_tracking.md', 'shipping.md', 'payment_security.md']",False,True
Hybrid,Can I track my shipment?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
Hybrid,Can I return an item after delivery?,ecommerce,"E-commerce keywords matched: ['delivery', 'return', 'item']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'subscriptions.md']",True,True
Hybrid,What is your return window?,ecommerce,E-commerce keywords matched: ['return'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'subscriptions.md', 'subscriptions.md']",True,True
Hybrid,How many days do I have to request a return?,ecommerce,E-commerce keywords matched: ['return'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'escalation_rules.md', 'shipping.md']",True,True
Hybrid,Can I get a refund for a damaged item?,ecommerce,"E-commerce keywords matched: ['refund', 'damaged item', 'item']",returns_refunds.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'returns_refunds.md']",False,True
Hybrid,I received a damaged item and want a refund,ecommerce,"E-commerce keywords matched: ['refund', 'damaged item', 'item']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'returns_refunds.md']",True,True
Hybrid,My item arrived broken,ecommerce,"E-commerce keywords matched: ['item', 'arrived']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'shipping.md']",True,True
Hybrid,How long do refunds take?,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'subscriptions.md', 'order_tracking.md']",True,True
Hybrid,When will my refund appear?,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,escalation_rules.md,"['escalation_rules.md', 'returns_refunds.md', 'payments.md']",False,True
Hybrid,Can I return an opened item?,ecommerce,"E-commerce keywords matched: ['return', 'item']",returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'damaged_items.md', 'subscriptions.md']",True,True
Hybrid,I want to dispute this refund decision,ecommerce,E-commerce keywords matched: ['refund'],returns_refunds.md,returns_refunds.md,"['returns_refunds.md', 'returns_refunds.md', 'escalation_rules.md']",True,True
Hybrid,I want a chargeback,ecommerce,No strong domain match; defaulted to ecommerce,returns_refunds.md,order_tracking.md,"['order_tracking.md', 'subscriptions.md', 'returns_refunds.md']",False,True
Hybrid,What payment methods do you accept?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'payment_security.md', 'subscriptions.md']",True,True
Hybrid,Can I pay with PayPal?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'subscriptions.md', 'shipping.md']",True,True
Hybrid,Do you accept debit cards?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'subscriptions.md', 'subscriptions.md']",True,True
Hybrid,My payment failed at checkout,ecommerce,E-commerce keywords matched: ['checkout'],payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'subscriptions.md']",False,True
Hybrid,Why did my card get declined?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'order_tracking.md']",False,True
Hybrid,I was charged twice,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
Hybrid,There is a duplicate charge on my card,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'payments.md', 'returns_refunds.md']",False,True
Hybrid,Do you store my credit card number?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payments.md,"['payments.md', 'payment_security.md', 'international_shipping.md']",True,True
Hybrid,Is my payment information secure?,ecommerce,No strong domain match; defaulted to ecommerce,payments.md,payment_security.md,"['payment_security.md', 'subscriptions.md', 'subscriptions.md']",False,False
Hybrid,How do I cancel my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
Hybrid,Can I pause my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'invoices.md']",True,True
Hybrid,How do I change my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,account_access.md,"['account_access.md', 'subscriptions.md', 'account_access.md']",False,True
Hybrid,Where do I manage my subscription?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
Hybrid,When do I need to cancel before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'escalation_rules.md']",True,True
Hybrid,Will I get a reminder before renewal?,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'order_tracking.md']",True,True
Hybrid,My subscription payment failed,saas,SaaS keywords matched: ['subscription'],subscriptions.md,billing.md,"['billing.md', 'subscriptions.md', 'subscriptions.md']",False,True
Hybrid,I want a refund for my subscription renewal,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'returns_refunds.md']",True,True
Hybrid,I am angry about my subscription renewal,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'escalation_rules.md', 'subscriptions.md']",True,True
Hybrid,I want to sue your company,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,shipping.md,"['shipping.md', 'payment_security.md', 'order_tracking.md']",False,False
Hybrid,This feels like fraud,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,payment_security.md,"['payment_security.md', 'subscriptions.md', 'subscriptions.md']",False,False
Hybrid,I am going to contact my lawyer,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,returns_refunds.md,"['returns_refunds.md', 'shipping.md', 'order_tracking.md']",False,False
Hybrid,Your company is a scam,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,returns_refunds.md,"['returns_refunds.md', 'order_tracking.md', 'subscriptions.md']",False,False
Hybrid,Can I take this supplement while pregnant?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,order_tracking.md,"['order_tracking.md', 'subscriptions.md', 'subscriptions.md']",False,False
Hybrid,I had an allergic reaction,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,damaged_items.md,"['damaged_items.md', 'returns_refunds.md', 'subscriptions.md']",False,False
Hybrid,Is this product safe with medication?,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,returns_refunds.md,"['returns_refunds.md', 'shipping.md', 'order_tracking.md']",False,False
Hybrid,I ended up in the hospital after using this,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,payments.md,"['payments.md', 'shipping.md', 'order_tracking.md']",False,False
Hybrid,My question is not covered by your policies,ecommerce,No strong domain match; defaulted to ecommerce,escalation_rules.md,escalation_rules.md,"['escalation_rules.md', 'returns_refunds.md', 'shipping.md']",True,True
Hybrid,I cannot log into my account,saas,"SaaS keywords matched: ['log in', 'account']",account_access.md,invoices.md,"['invoices.md', 'account_access.md', 'account_access.md']",False,True
Hybrid,How do I reset my password?,saas,SaaS keywords matched: ['password'],account_access.md,account_access.md,"['account_access.md', 'security_incidents.md', 'technical_issues.md']",True,True
Hybrid,My account is locked after failed login attempts,saas,"SaaS keywords matched: ['login', 'account']",account_access.md,account_access.md,"['account_access.md', 'technical_issues.md', 'billing.md']",True,True
Hybrid,How do I change my account email?,saas,SaaS keywords matched: ['account'],account_access.md,account_access.md,"['account_access.md', 'account_access.md', 'technical_issues.md']",True,True
Hybrid,Someone else claims ownership of my account,saas,SaaS keywords matched: ['account'],account_access.md,account_access.md,"['account_access.md', 'escalation_rules.md', 'invoices.md']",True,True
Hybrid,Where can I download my invoice?,saas,SaaS keywords matched: ['invoice'],billing.md,invoices.md,"['invoices.md', 'billing.md', 'subscriptions.md']",False,True
Hybrid,My SaaS payment failed,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,payments.md,"['payments.md', 'subscriptions.md', 'payment_security.md']",False,False
Hybrid,I see a duplicate charge on my SaaS account,saas,SaaS keywords matched: ['account'],billing.md,billing.md,"['billing.md', 'escalation_rules.md', 'subscriptions.md']",True,True
Hybrid,Do you accept debit cards for the platform?,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,payments.md,"['payments.md', 'subscriptions.md', 'international_shipping.md']",False,False
Hybrid,Where do I update my billing method?,ecommerce,No strong domain match; defaulted to ecommerce,billing.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'payment_security.md']",False,False
Hybrid,The app is not loading in my browser,saas,SaaS keywords matched: ['browser'],technical_issues.md,technical_issues.md,"['technical_issues.md', 'api_errors.md', 'billing.md']",True,True
Hybrid,My API request failed with error code 401,saas,"SaaS keywords matched: ['api', 'error code']",technical_issues.md,api_errors.md,"['api_errors.md', 'technical_issues.md', 'account_access.md']",False,True
Hybrid,My data is not syncing,saas,SaaS keywords matched: ['sync'],technical_issues.md,technical_issues.md,"['technical_issues.md', 'data_sync.md', 'technical_issues.md']",True,True
Hybrid,I think my account was hacked,saas,SaaS keywords matched: ['account'],technical_issues.md,security_incidents.md,"['security_incidents.md', 'account_access.md', 'account_access.md']",False,False
Hybrid,There may be unauthorized access to my account,saas,SaaS keywords matched: ['account'],technical_issues.md,security_incidents.md,"['security_incidents.md', 'technical_issues.md', 'escalation_rules.md']",False,True
Hybrid,How do I upgrade my plan?,saas,"SaaS keywords matched: ['plan', 'upgrade']",subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
Hybrid,How do I downgrade my plan?,saas,"SaaS keywords matched: ['plan', 'downgrade']",subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
Hybrid,Does my subscription renew automatically?,saas,SaaS keywords matched: ['subscription'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'api_errors.md']",True,True
Hybrid,When does my trial expire?,saas,SaaS keywords matched: ['trial'],subscriptions.md,subscriptions.md,"['subscriptions.md', 'api_errors.md', 'escalation_rules.md']",True,True
Hybrid,I want a refund for my SaaS subscription charge,ecommerce,No strong domain match; defaulted to ecommerce,subscriptions.md,subscriptions.md,"['subscriptions.md', 'subscriptions.md', 'returns_refunds.md']",True,True
